time_s,board_in,t79_2_secondary,q79_3_g1,q79_3_g2,q79_3_drain,q79_3_source
9.1577854e-05,9.64947527e-05,0.0429385471,0.649900881,2.08425373,3.45640936,1.73534912
9.1578854e-05,9.48570231e-05,0.0307876019,0.646762799,2.08984813,3.45638799,1.73534909
9.1579854e-05,9.29159776e-05,0.0185384484,0.643604861,2.09430941,3.45636922,1.73534907
9.1580854e-05,9.06778231e-05,0.00623038785,0.640437197,2.09762331,3.45635303,1.73534904
9.1581854e-05,8.81497163e-05,-0.00609709515,0.63726997,2.09977924,3.45633942,1.73534902
9.1582854e-05,8.5339741e-05,-0.0184044603,0.634113339,2.1007703,3.45632839,1.73534899
9.1583854e-05,8.22568826e-05,-0.0306522397,0.630977425,2.10059333,3.45631991,1.73534896
9.1584854e-05,7.89109987e-05,-0.0428011655,0.627872283,2.09924888,3.45631396,1.73534894
9.1585854e-05,7.53127882e-05,-0.0548122967,0.624807865,2.09674127,3.45631051,1.73534891
9.1586854e-05,7.14737568e-05,-0.0666471451,0.621793991,2.0930785,3.4563095,1.73534888
9.1587854e-05,6.74061801e-05,-0.0782677992,0.618840315,2.08827228,3.45631089,1.73534885
9.1588854e-05,6.31230648e-05,-0.0896370463,0.615956295,2.08233798,3.45631462,1.73534882
9.1589854e-05,5.86381066e-05,-0.100718493,0.613151162,2.07529457,3.45632063,1.73534879
9.1590854e-05,5.39656465e-05,-0.111476679,0.610433893,2.06716457,3.45632885,1.73534876
9.1591854e-05,4.91206254e-05,-0.121877197,0.607813178,2.05797397,3.45633919,1.73534873
9.1592854e-05,4.41185356e-05,-0.131886796,0.605297395,2.04775214,3.45635158,1.7353487
9.1593854e-05,3.8975372e-05,-0.141473491,0.602894581,2.03653177,3.45636592,1.73534867
9.1594854e-05,3.37075803e-05,-0.150606665,0.60061241,2.02434873,3.45638213,1.73534864
9.1595854e-05,2.83320049e-05,-0.159257166,0.598458166,2.01124196,3.45640009,1.73534861
9.1596854e-05,2.28658349e-05,-0.167397399,0.596438719,1.99725336,3.45641972,1.73534858
9.1597854e-05,1.73265488e-05,-0.175001414,0.594560507,1.98242766,3.45644089,1.73534854
9.1598854e-05,1.17318591e-05,-0.182044989,0.59282951,1.96681225,3.4564635,1.73534851
9.1599854e-05,6.09965559e-06,-0.188505703,0.591251237,1.95045706,3.45648743,1.73534848
9.1600854e-05,4.4794772e-07,-0.194363009,0.589830707,1.93341436,3.45651256,1.73534844
9.1601854e-05,-5.20519251e-06,-0.199598299,0.588572429,1.91573864,3.45653876,1.73534841
9.1602854e-05,-1.08416886e-05,-0.204194961,0.587480394,1.89748641,3.45656592,1.73534838
9.1603854e-05,-1.64435171e-05,-0.208138428,0.586558061,1.87871601,3.4565939,1.73534834
9.1604854e-05,-2.19927657e-05,-0.211416226,0.585808342,1.85948747,3.45662256,1.73534831
9.1605854e-05,-2.74716901e-05,-0.214018013,0.585233601,1.83986223,3.45665178,1.73534828
9.1606854e-05,-3.28627706e-05,-0.215935606,0.584835639,1.81990306,3.45668142,1.73534824
9.1607854e-05,-3.81487689e-05,-0.217163009,0.584615694,1.79967375,3.45671135,1.73534821
9.1608854e-05,-4.33127822e-05,-0.217696431,0.584574436,1.77923897,3.45674143,1.73534817
9.1609854e-05,-4.83382982e-05,-0.217534293,0.584711963,1.75866406,3.45677152,1.73534814
9.1610854e-05,-5.32092471e-05,-0.216677235,0.585027806,1.73801479,3.45680149,1.73534811
9.1611854e-05,-5.79100536e-05,-0.215128107,0.585520927,1.71735716,3.4568312,1.73534807
9.1612854e-05,-6.24256864e-05,-0.212891968,0.586189721,1.69675723,3.45686052,1.73534804
9.1613854e-05,-6.67417061e-05,-0.209976058,0.587032028,1.67628084,3.45688931,1.735348
9.1614854e-05,-7.08443119e-05,-0.206389781,0.588045134,1.65599347,3.45691743,1.73534797
9.1615854e-05,-7.47203852e-05,-0.202144671,0.589225783,1.63595995,3.45694482,1.73534794
9.1616854e-05,-7.83575319e-05,-0.197254353,0.590570187,1.61624435,3.45697169,1.7353479
9.1617854e-05,-8.17441217e-05,-0.191734503,0.592074039,1.59690969,3.45699843,1.73534787
9.1618854e-05,-8.48693257e-05,-0.185602793,0.593732523,1.57801778,3.45702528,1.73534784
9.1619854e-05,-8.77231507e-05,-0.178878836,0.595540336,1.55962903,3.45705245,1.7353478
9.1620854e-05,-9.02964712e-05,-0.171584126,0.597491701,1.54180221,3.45708012,1.73534777
9.1621854e-05,-9.25810589e-05,-0.163741962,0.599580383,1.52459431,3.45710847,1.73534774
9.1622854e-05,-9.45696084e-05,-0.155377383,0.601799715,1.50806036,3.45713761,1.73534771
9.1623854e-05,-9.62557612e-05,-0.146517081,0.604142614,1.49225321,3.45716764,1.73534768
9.1624854e-05,-9.76341256e-05,-0.13718932,0.606601607,1.47722339,3.45719862,1.73534765
9.1625854e-05,-9.87002942e-05,-0.127423845,0.609168853,1.46301896,3.45723059,1.73534762
9.1626854e-05,-9.94508577e-05,-0.11725179,0.611836165,1.44968531,3.45726354,1.73534759
9.1627854e-05,-9.98834161e-05,-0.106705577,0.614595043,1.43726509,3.45729747,1.73534756
9.1628854e-05,-9.99965863e-05,-0.0958188148,0.617436695,1.42579799,3.4573323,1.73534753
