time_s,q79_3_drain,c79_17_node,filt_loop,audio_terminal,pin_bias,agc_store
0.0047096,3.33522682,3.36635452,0.0025788173,-0.87280596,0.0396598789,1.16422694
0.0047104,3.33433866,3.36628906,0.00251794108,-0.87982591,0.0396730686,1.16422665
0.0047112,3.33528845,3.36622402,0.00245749779,-0.886822101,0.0396601561,1.16422636
0.004712,3.33611787,3.36615987,0.00239797054,-0.893794347,0.039638682,1.16422606
0.0047128,3.33578006,3.36609623,0.00233897379,-0.900742443,0.0396389868,1.16422577
0.0047136,3.33441658,3.36603255,0.00227994595,-0.907666182,0.0396605984,1.16422548
0.0047144,3.33355314,3.36596864,0.00222071287,-0.91456537,0.0396733352,1.16422519
0.0047152,3.3345227,3.36590516,0.00216193246,-0.92143983,0.0396599702,1.16422489
0.004716,3.3353551,3.36584259,0.00210408045,-0.928289375,0.0396386714,1.1642246
0.0047168,3.33500126,3.36578055,0.00204675959,-0.935113802,0.0396395513,1.16422431
0.0047176,3.33363712,3.36571844,0.0019894103,-0.941912905,0.039661313,1.16422401
0.0047184,3.33279898,3.36565614,0.00193186951,-0.948686493,0.0396735887,1.16422372
0.0047192,3.33378866,3.36559428,0.00187479678,-0.955434392,0.0396597783,1.16422343
0.00472,3.33462326,3.36553334,0.00181866264,-0.962156419,0.0396386702,1.16422314
0.0047208,3.33425301,3.36547292,0.00176306204,-0.968852373,0.0396401263,1.16422284
0.0047216,3.33288938,3.36541245,0.00170743252,-0.975522054,0.0396620238,1.16422255
0.0047224,3.33207703,3.36535178,0.00165162251,-0.982165273,0.0396738315,1.16422226
0.0047232,3.33308614,3.36529159,0.00159630061,-0.988781853,0.0396595854,1.16422196
0.004724,3.3339229,3.36523233,0.00154192968,-0.995371619,0.0396386813,1.16422167
0.0047248,3.33353671,3.36517358,0.00148809233,-1.00193437,0.03964071,1.16422138
0.0047256,3.33217385,3.36511479,0.0014342264,-1.0084699,0.0396627294,1.16422108
0.0047264,3.33138742,3.36505582,0.00138019499,-1.01497804,0.0396740619,1.16422079
0.0047272,3.33241644,3.36499733,0.00132666695,-1.0214586,0.0396593871,1.1642205
0.004728,3.33325476,3.36493979,0.00127409957,-1.02791141,0.0396386999,1.16422021
0.0047288,3.33285204,3.36488276,0.00122206736,-1.03433628,0.0396413025,1.16421991
0.0047296,3.33149103,3.3648257,0.00117000723,-1.04073301,0.0396634305,1.16421962
0.0047304,3.33073127,3.36476846,0.00111779248,-1.04710141,0.0396742806,1.16421933
0.0047312,3.33177954,3.36471173,0.00106609731,-1.05344133,0.0396591877,1.16421903
0.004732,3.33261899,3.36465595,0.00101537562,-1.05975258,0.0396387325,1.16421874
0.0047328,3.33220028,3.3646007,0.000965187451,-1.06603497,0.0396419049,1.16421845
0.0047336,3.33084136,3.36454539,0.000914968921,-1.07228832,0.0396641265,1.16421816
0.0047344,3.33010806,3.36448993,0.000864606832,-1.07851244,0.0396744881,1.16421786
0.0047352,3.33117546,3.36443499,0.000814777683,-1.08470718,0.0396589848,1.16421757
0.004736,3.33201554,3.36438101,0.000765926585,-1.09087237,0.0396387725,1.16421728
0.0047368,3.33158037,3.36432754,0.000717605728,-1.09700783,0.0396425144,1.16421699
0.0047376,3.33022418,3.36427403,0.000669251857,-1.10311337,0.039664817,1.16421669
0.0047384,3.32951793,3.36422036,0.000620763028,-1.10918883,0.0396746831,1.1642164
0.0047392,3.33060417,3.36416724,0.000572819987,-1.11523405,0.03965878,1.16421611
0.00474,3.33144433,3.36411508,0.000525862408,-1.12124888,0.0396388262,1.16421581
0.0047408,3.33099304,3.36406343,0.000479433294,-1.12723313,0.0396431341,1.16421552
0.0047416,3.32964033,3.36401174,0.000432969072,-1.13318663,0.0396655018,1.16421523
0.0047424,3.32896141,3.36395991,0.000386381963,-1.13910921,0.0396748679,1.16421494
0.0047432,3.33006642,3.36390862,0.000340356272,-1.14500073,0.0396585739,1.16421464
0.004744,3.33090675,3.36385832,0.000295325411,-1.15086103,0.0396388893,1.16421435
0.0047448,3.33043947,3.36380854,0.000250823763,-1.15668993,0.0396437604,1.16421406
0.0047456,3.32909115,3.36375871,0.000206290671,-1.16248725,0.0396661806,1.16421376
0.0047464,3.32844031,3.36370876,0.000161651743,-1.16825282,0.0396750395,1.16421347
0.0047472,3.32956425,3.36365938,0.000117594019,-1.1739865,0.0396583647,1.16421318
0.004748,3.33040449,3.363611,7.45437757e-05,-1.17968811,0.0396389645,1.16421289
0.0047488,3.32992138,3.36356313,3.20255909e-05,-1.18535749,0.0396443961,1.16421259
0.0047496,3.32857822,3.36351523,-1.05200007e-05,-1.19099445,0.0396668532,1.1642123
0.0047504,3.32795589,3.36346722,-5.31551592e-05,-1.19659882,0.0396752011,1.16421201
0.0047512,3.32909845,3.3634198,-9.51903986e-05,-1.20217045,0.039658156,1.16421172
0.004752,3.32993809,3.36337339,-0.000136207343,-1.20770917,0.039639051,1.16421142
0.0047528,3.32943925,3.3633275,-0.000176692057,-1.21321482,0.0396450382,1.16421113
0.0047536,3.32810185,3.36328157,-0.000217202974,-1.2186872,0.0396675194,1.16421084
0.0047544,3.3275081,3.36323555,-0.000257788875,-1.22412616,0.0396753501,1.16421054
0.0047552,3.32866901,3.36319014,-0.000297758329,-1.22953154,0.0396579441,1.16421025
0.004756,3.32950775,3.36314575,-0.000336700876,-1.23490318,0.0396391482,1.16420996
0.0047568,3.32899318,3.36310188,-0.000375112085,-1.24024091,0.0396456886,1.16420966
0.0047576,3.32766207,3.36305797,-0.000413548692,-1.24554455,0.0396681788,1.16420937
0.0047584,3.32709731,3.36301398,-0.000452046932,-1.25081393,0.0396754885,1.16420908
0.0047592,3.32827628,3.36297062,-0.000489913261,-1.25604892,0.0396577337,1.16420879
0.00476,3.32911364,3.36292829,-0.00052674444,-1.26124935,0.0396392587,1.16420849
0.0047608,3.32858339,3.36288647,-0.000563046485,-1.26641505,0.0396463458,1.1642082
0.0047616,3.32725924,3.36284462,-0.000599374982,-1.27154585,0.0396688314,1.16420791
0.0047624,3.32672362,3.36280271,-0.000635752653,-1.27664158,0.0396756152,1.16420762
0.0047632,3.32792031,3.36276144,-0.00067148375,-1.28170212,0.0396575208,1.16420732
0.004764,3.32875593,3.36272119,-0.000706173294,-1.2867273,0.0396393784,1.16420703
0.0047648,3.32821012,3.36268147,-0.000740336861,-1.29171696,0.0396470096,1.16420674
0.0047656,3.32689352,3.36264171,-0.000774527166,-1.29667093,0.0396694766,1.16420645
0.0047664,3.3263873,3.3626019,-0.000808754019,-1.30158905,0.0396757305,1.16420615
0.0047672,3.32760147,3.36256275,-0.000842320695,-1.3064712,0.0396573093,1.16420586
0.004768,3.32843496,3.36252463,-0.000874839466,-1.31131722,0.0396395129,1.16420557
0.0047688,3.3278737,3.36248703,-0.000906835106,-1.31612694,0.0396476809,1.16420527
0.0047696,3.32656531,3.3624494,-0.000938858559,-1.32090021,0.039670115,1.16420498
0.0047704,3.32608865,3.36241173,-0.000970907072,-1.32563688,0.0396758353,1.16420469
0.0047712,3.32731993,3.36237472,-0.00100228238,-1.33033681,0.0396570973,1.1642044
0.004772,3.3281509,3.36233877,-0.00103260438,-1.33499987,0.0396396562,1.1642041
0.0047728,3.32757431,3.36230332,-0.00106240764,-1.33962589,0.0396483574,1.16420381
0.0047736,3.3262747,3.36226784,-0.00109223988,-1.34421471,0.0396707455,1.16420352
0.0047744,3.32582784,3.36223233,-0.00112208485,-1.34876621,0.039675928,1.16420323
0.0047752,3.32707603,3.36219751,-0.00115124357,-1.35328024,0.0396568858,1.16420293
0.004776,3.32790408,3.36216374,-0.00117934419,-1.35775667,0.0396398138,1.16420264
0.0047768,3.32731225,3.36213047,-0.00120693023,-1.36219535,0.0396490416,1.16420235
0.0047776,3.32602214,3.36209717,-0.00123454596,-1.36659612,0.0396713681,1.16420206
0.0047784,3.32560522,3.36206387,-0.00126216272,-1.37095886,0.0396760111,1.16420176
0.0047792,3.32686989,3.36203125,-0.00128908112,-1.37528343,0.0396566758,1.16420147
0.00478,3.32769464,3.36199969,-0.00131493746,-1.3795697,0.039639982,1.16420118
0.0047808,3.32708773,3.36196864,-0.00134028438,-1.38381754,0.03964973,1.16420089
0.0047816,3.32580766,3.36193754,-0.00136566254,-1.38802678,0.0396719826,1.16420059
0.0047824,3.32542083,3.36190646,-0.00139102987,-1.39219731,0.0396760818,1.1642003
0.0047832,3.32670173,3.36187607,-0.00141568653,-1.396329,0.0396564654,1.16420001
0.004784,3.32752286,3.36184676,-0.00143927706,-1.40042173,0.039640163,1.16419972
0.0047848,3.32690096,3.36181793,-0.00146236309,-1.40447537,0.0396504257,1.16419943
0.0047856,3.32563157,3.36178908,-0.00148548138,-1.40848977,0.0396725891,1.16419913
0.0047864,3.32527505,3.36176023,-0.00150857663,-1.41246481,0.0396761433,1.16419884
0.0047872,3.32657178,3.36173212,-0.00153094874,-1.41640039,0.0396562583,1.16419855
0.004788,3.32738886,3.36170506,-0.0015522511,-1.42029639,0.0396403562,1.16419826
0.0047888,3.32675215,3.3616785,-0.00157305452,-1.42415269,0.0396511254,1.16419797
0.0047896,3.32549398,3.36165191,-0.00159389132,-1.42796916,0.039673187,1.16419768
0.0047904,3.32516782,3.36162534,-0.00161469247,-1.4317457,0.0396761931,1.16419739
0.0047912,3.32648007,3.36159951,-0.00163475792,-1.4354822,0.0396560509,1.1641971
