phase,candidate,filter_path,VFO_T1_L1,VFO_T1_L2,VFO_T1_K,VFO_C7,VFO_C8,VFO_C9,VFO_C10,VFO_C11,VFO_C12,raw_mixer_mvpp,filter_input_mvpp,filter_output_mvpp,frequency_mhz,filter_gain_db,loaded_out_mvpp
80m_fine,fine0.940,80 m,5.4,5.4,0.04,16.6,5.1,16.394714547684707,16.6,5.1,16.394714547684707,288.70533446054577,284.56467841869045,163.14508753925213,13.0,-4.8321398204622605,81.92184548258213
80m_fine,fine0.970,80 m,5.4,5.4,0.04,16.6,5.1,16.917950118355495,16.6,5.1,16.917950118355495,707.1706725385942,698.7914036807957,326.37525698482233,12.5,-6.6126065398929885,163.9299623769649
80m_fine,fine0.970,80 m,5.4,5.4,0.04,16.6,5.1,16.917950118355495,16.6,5.1,16.917950118355495,457.34287085595633,451.1497178736025,258.02562171424415,12.75,-4.853157139166605,129.58299705456702
80m_fine,fine0.970,80 m,5.4,5.4,0.04,16.6,5.1,16.917950118355495,16.6,5.1,16.917950118355495,275.20392885949985,271.1281461371079,147.22383868595278,13.0,-5.3039293459322545,73.92842278104924
80m_fine,fine1.000,80 m,5.4,5.4,0.04,16.6,5.1,17.441185689026284,16.6,5.1,17.441185689026284,646.2944424481731,638.1755608392788,335.65190718153696,12.5,-5.581020990301624,168.58681491292197
80m_fine,fine1.000,80 m,5.4,5.4,0.04,16.6,5.1,17.441185689026284,16.6,5.1,17.441185689026284,433.8980768417179,427.6967422858031,249.90080373825558,12.75,-4.667365787635021,125.50458610820466
80m_fine,fine1.000,80 m,5.4,5.4,0.04,16.6,5.1,17.441185689026284,16.6,5.1,17.441185689026284,260.82094370571417,256.89425569675115,125.6741131984388,13.0,-6.210171278542628,63.108703967807514
80m_fine,fine1.030,80 m,5.4,5.4,0.04,16.6,5.1,17.964421259697072,16.6,5.1,17.964421259697072,601.1456558547055,593.0973470215515,340.8210334042668,12.5,-4.811991849187397,171.18189614772209
80m_fine,fine1.030,80 m,5.4,5.4,0.04,16.6,5.1,17.964421259697072,16.6,5.1,17.964421259697072,414.3267058056651,408.20367434751455,227.86175398536997,12.75,-5.06410947039666,114.43986639232705
80m_fine,fine1.030,80 m,5.4,5.4,0.04,16.6,5.1,17.964421259697072,16.6,5.1,17.964421259697072,245.42065897351554,241.68469804674564,104.00238354197003,13.0,-7.324117236965489,52.22701773457432
80m_fine,fine1.060,80 m,5.4,5.4,0.04,16.6,5.1,18.48765683036786,16.6,5.1,18.48765683036786,569.3826096374693,561.3170826719775,334.15252553606047,12.5,-4.505270230095784,167.83531761700803
80m_fine,fine1.060,80 m,5.4,5.4,0.04,16.6,5.1,18.48765683036786,16.6,5.1,18.48765683036786,393.6818055000501,387.7667125979543,196.4791372927331,12.75,-5.9050816453169634,98.68268259371042
80m_fine,fine1.060,80 m,5.4,5.4,0.04,16.6,5.1,18.48765683036786,16.6,5.1,18.48765683036786,230.15596250181665,226.6077280498324,85.32235402590602,13.0,-8.484237751542118,42.84716326411051
40m_coarse,scale0.850,40 m,5.4,5.4,0.04,16.6,6.599365521978892,17.441185689026284,16.6,6.599365521978892,17.441185689026284,458.0181055245703,451.65642671074494,216.2991688389562,16.0,-6.395066873479892,108.2337825920964
40m_coarse,scale0.850,40 m,5.4,5.4,0.04,16.6,6.599365521978892,17.441185689026284,16.6,6.599365521978892,17.441185689026284,329.75264032732656,324.86118454488985,150.0901277538233,16.25,-6.706913925647678,75.0851503610686
