target_per_diode_current_a,frequency_hz,q79_3_gate1_gain_db
0.0,8931200.0,48.04504185506717
0.0,8931400.0,48.06873693965305
0.0,8931600.0,48.09246051717264
0.0,8931800.0,48.11621255417822
0.0,8932000.0,48.13999301555721
0.0,8932200.0,48.16380186454762
0.0,8932400.0,48.187639028913395
0.0,8932600.0,48.21150450266597
0.0,8932800.0,48.235398277841966
0.0,8933000.0,48.25932024383398
0.0,8933200.0,48.2832703896113
0.0,8933400.0,48.30724866883891
0.0,8933600.0,48.331255033640126
0.0,8933800.0,48.35528946780515
0.0,8934000.0,48.3793518539415
0.0,8934200.0,48.40344217292437
0.0,8934400.0,48.42756040378135
0.0,8934600.0,48.45170642522854
0.0,8934800.0,48.47588021346936
0.0,8935000.0,48.500081677617786
0.0,8935200.0,48.524310823392305
0.0,8935400.0,48.54856752452808
0.0,8935600.0,48.57285171884067
0.0,8935800.0,48.59716337505152
0.0,8936000.0,48.62150236358593
0.0,8936200.0,48.64586865054916
0.0,8936400.0,48.67026216834334
0.0,8936600.0,48.694682784212056
0.0,8936800.0,48.719130492141545
0.0,8937000.0,48.74360515714535
0.0,8937200.0,48.768106706985776
0.0,8937400.0,48.792635068166334
0.0,8937600.0,48.817190102998005
0.0,8937800.0,48.8417717674297
0.0,8938000.0,48.86637995324545
0.0,8938200.0,48.891014551382604
0.0,8938400.0,48.91567548306411
0.0,8938600.0,48.940362606276715
0.0,8938800.0,48.96507587138133
0.0,8939000.0,48.98981510382021
0.0,8939200.0,49.0145802520258
0.0,8939400.0,49.039371140242025
0.0,8939600.0,49.06418768443311
0.0,8939800.0,49.089029799469266
0.0,8940000.0,49.11389730788911
0.0,8940200.0,49.1387900928703
0.0,8940400.0,49.163708036883335
0.0,8940600.0,49.18865099154728
0.0,8940800.0,49.213618838214884
0.0,8941000.0,49.23861142758404
0.0,8941200.0,49.26362863993578
0.0,8941400.0,49.28867029528057
0.0,8941600.0,49.31373627313089
0.0,8941800.0,49.33882639309402
0.0,8942000.0,49.36394053395588
0.0,8942200.0,49.389078485492284
0.0,8942400.0,49.414240155443174
0.0,8942600.0,49.43942530413278
0.0,8942800.0,49.46463380952658
