time_s,r_line_v,t_line_v,q79_6_base_v,agc_store_v,pin_bias_v,pin_current_a_per_branch,meter_current_a,d79_4_anode_v,d79_4_cathode_v
0.0069,12.1,0.2,0.0472227888,1.20061188,0.0380137254,1.3199999995827661e-11,7.29745894e-09,0.119782119,7.29745894e-06
0.00695,12.1,0.2,0.04722296,1.2032988,0.0380149345,1.349999999983309e-11,7.68861155e-09,0.121704608,7.68861155e-06
0.007,12.1,0.2,0.0472230566,1.20654196,0.0380162271,1.389999999823477e-11,8.157017270000001e-09,0.124036844,8.15701727e-06
0.00705,12.1,0.2,0.0472230708,1.21001631,0.0380176088,1.4199999995301304e-11,8.66658857e-09,0.126549084,8.66658857e-06
0.0071,12.1,0.2,0.0472230022,1.21337877,0.0380190773,1.4499999999306734e-11,9.17032965e-09,0.128993621,9.17032965e-06
0.00715,12.1,0.2,0.0472228584,1.21630062,0.0380206216,1.479999999637327e-11,9.613096290000001e-09,0.131128225,9.61309629e-06
0.0072,12.1,0.2,0.0472226556,1.21850147,0.0380222215,1.4999999999043556e-11,9.93936641e-09,0.132742525,9.93936641e-06
0.00725,12.1,0.2,0.0472222823,1.21946903,0.0380238375,1.4899999997708414e-11,1.0014181e-08,0.133455085,1.0014181e-05
0.0073,12.1,0.2,0.0472222398,1.21957764,0.0380254428,1.4900000004647306e-11,1.00226006e-08,0.133535128,1.00226006e-05
0.00735,12.1,0.2,0.047222223,1.2195968,0.0380270476,1.4900000004647306e-11,1.00216855e-08,0.133549295,1.00216855e-05
0.0074,12.1,0.2,0.0472222229,1.21957742,0.0380286511,1.4899999997708414e-11,1.0018176900000001e-08,0.133535046,1.00181769e-05
0.00745,12.1,0.2,0.0472222229,1.21955819,0.038030254,1.4899999997708414e-11,1.0014742100000001e-08,0.133520904,1.00147421e-05
0.0075,12.1,0.2,0.0472222229,1.21953896,0.0380318562,1.4899999997708414e-11,1.0011309799999999e-08,0.133506766,1.00113098e-05
0.00755,12.1,0.2,0.0472222229,1.21951975,0.0380334578,1.4900000004647306e-11,1.00078796e-08,0.133492634,1.00078796e-05
0.0076,12.1,0.2,0.0472222229,1.21950053,0.0380350587,1.4899999997708414e-11,1.0004452100000002e-08,0.133478507,1.00044521e-05
0.00765,12.1,0.2,0.0472222229,1.21948133,0.0380366589,1.4899999997708414e-11,1.00010269e-08,0.133464386,1.00010269e-05
0.0077,12.1,0.2,0.0472222229,1.21946213,0.0380382585,1.4899999997708414e-11,9.99760499e-09,0.133450271,9.99760499e-06
0.00775,12.1,0.2,0.0472222229,1.21944302,0.0380398574,1.4900000004647306e-11,9.994203340000001e-09,0.133436221,9.99420334e-06
0.0078,12.1,0.2,0.0472222229,1.21942393,0.0380414557,1.4899999997708414e-11,9.99080584e-09,0.133422186,9.99080584e-06
0.00785,12.1,0.2,0.0472222233,1.21940506,0.0380430533,1.4899999997708414e-11,9.98753626e-09,0.133408312,9.98753626e-06
0.0079,12.1,0.2,0.047222787,1.2206073,0.0380446962,1.529999999611009e-11,1.0349715499999999e-08,0.13429048,1.03497155e-05
0.00795,12.1,0.2,0.0472229576,1.22329374,0.0380464475,1.569999999451177e-11,1.0896289200000002e-08,0.136271871,1.08962892e-05
0.008,12.1,0.2,0.047223054,1.22653642,0.0380483137,1.6200000001187485e-11,1.15620354e-08,0.138673758,1.15620354e-05
0.00805,12.1,0.2,0.0472230681,1.23001029,0.0380503062,1.6700000000924308e-11,1.22961102e-08,0.141258855,1.22961102e-05
0.0081,12.1,0.2,0.0472229997,1.23337227,0.0380524253,1.720000000066113e-11,1.30310327e-08,0.14377218,1.30310327e-05
0.00815,12.1,0.2,0.0472228564,1.23629365,0.0380546586,1.7700000000397952e-11,1.36864204e-08,0.145965172,1.36864204e-05
0.0082,12.1,0.2,0.0472226543,1.23849403,0.0380569798,1.790000000306824e-11,1.41801139e-08,0.147622556,1.41801139e-05
0.00825,12.1,0.2,0.0472222818,1.23945885,0.0380593377,1.790000000306824e-11,1.43276623e-08,0.148351881,1.43276623e-05
0.0083,12.1,0.2,0.0472222398,1.2395667,0.0380616886,1.7899999996129345e-11,1.43442884e-08,0.148433461,1.43442884e-05
0.00835,12.1,0.2,0.0472222231,1.23958557,0.0380640394,1.7899999996129345e-11,1.43447012e-08,0.148447776,1.43447012e-05
0.0084,12.1,0.2,0.0472222229,1.23956585,0.0380663887,1.790000000306824e-11,1.4339546699999999e-08,0.148432895,1.43395467e-05
0.00845,12.1,0.2,0.0472222229,1.2395463,0.038068737,1.7999999997464487e-11,1.4334486099999999e-08,0.148418134,1.43344861e-05
0.0085,12.1,0.2,0.0472222229,1.23952675,0.0380710842,1.790000000306824e-11,1.43294295e-08,0.14840338,1.43294295e-05
0.00855,12.1,0.2,0.0472222229,1.2395072,0.0380734304,1.7899999996129345e-11,1.43243759e-08,0.14838863,1.43243759e-05
0.0086,12.1,0.2,0.0472222229,1.23948767,0.0380757756,1.790000000306824e-11,1.4319326199999999e-08,0.148373885,1.43193262e-05
0.00865,12.1,0.2,0.0472222229,1.23946814,0.0380781198,1.7899999996129345e-11,1.43142799e-08,0.148359146,1.43142799e-05
0.0087,12.1,0.2,0.0472222229,1.23944862,0.038080463,1.790000000306824e-11,1.43092382e-08,0.148344414,1.43092382e-05
0.00875,12.1,0.2,0.0472222229,1.23942918,0.0380828052,1.790000000306824e-11,1.43042219e-08,0.148329743,1.43042219e-05
