time_s,pto_emitter_v,crystal_q89_3_drain_v
9.229797956437e-05,1.581907059732e+00,7.744744936913e+00
9.229997956437e-05,1.563983070476e+00,7.744992403449e+00
9.230197956437e-05,1.546650879603e+00,7.745238884945e+00
9.230397956437e-05,1.529985898038e+00,7.745482565852e+00
9.230597956437e-05,1.514060633734e+00,7.745721612123e+00
9.230797956437e-05,1.498944376195e+00,7.745954173517e+00
9.230997956437e-05,1.484702895005e+00,7.746178388067e+00
9.231197956437e-05,1.471398153668e+00,7.746392389318e+00
9.231397956437e-05,1.459088040009e+00,7.746594316782e+00
9.231597956437e-05,1.447826114313e+00,7.746782329909e+00
9.231797956437e-05,1.437661376285e+00,7.746954625650e+00
9.231997956437e-05,1.428638051857e+00,7.747109459477e+00
9.232197956437e-05,1.420795400765e+00,7.747245169471e+00
9.232397956437e-05,1.414167545734e+00,7.747360202897e+00
9.232597956437e-05,1.408783324012e+00,7.747453144438e+00
9.232797956437e-05,1.404666161901e+00,7.747522745163e+00
9.232997956437e-05,1.401833972832e+00,7.747567951147e+00
9.233197956437e-05,1.400299079425e+00,7.747587930651e+00
9.233397956437e-05,1.400068159874e+00,7.747582098770e+00
9.233597956437e-05,1.401142218890e+00,7.747550138547e+00
9.233797956437e-05,1.403516583332e+00,7.747492017673e+00
9.233997956437e-05,1.407180922537e+00,7.747408000078e+00
9.234197956437e-05,1.412119293269e+00,7.747298651913e+00
9.234397956437e-05,1.418310209087e+00,7.747164841651e+00
9.234597956437e-05,1.425726733828e+00,7.747007734242e+00
9.234797956437e-05,1.434336598809e+00,7.746828779484e+00
9.234997956437e-05,1.444102343222e+00,7.746629694938e+00
9.235197956437e-05,1.454981477121e+00,7.746412443886e+00
9.235397956437e-05,1.466926666298e+00,7.746179208952e+00
9.235597956437e-05,1.479885938224e+00,7.745932362084e+00
9.235797956437e-05,1.493802908183e+00,7.745674431669e+00
9.235997956437e-05,1.508617024591e+00,7.745408067554e+00
9.236197956437e-05,1.524263832456e+00,7.745136004750e+00
9.236397956437e-05,1.540675253816e+00,7.744861026587e+00
9.236597956437e-05,1.557779883936e+00,7.744585928001e+00
9.236797956437e-05,1.575503301988e+00,7.744313479640e+00
9.236997956437e-05,1.593768394851e+00,7.744046393343e+00
9.237197956437e-05,1.612495692620e+00,7.743787289545e+00
9.237397956437e-05,1.631603714375e+00,7.743538667035e+00
9.237597956437e-05,1.651009322697e+00,7.743302875463e+00
9.237797956437e-05,1.670628085395e+00,7.743082090903e+00
9.237997956437e-05,1.690374642857e+00,7.742878294721e+00
9.238197956437e-05,1.710163079451e+00,7.742693255917e+00
9.238397956437e-05,1.729907297328e+00,7.742528517085e+00
9.238597956437e-05,1.749521391034e+00,7.742385384016e+00
9.238797956437e-05,1.768920021274e+00,7.742264918969e+00
9.238997956437e-05,1.788018786216e+00,7.742167937528e+00
9.239197956437e-05,1.806734588718e+00,7.742095008948e+00
9.239397956437e-05,1.824985997873e+00,7.742046459792e+00
9.239597956437e-05,1.842693603315e+00,7.742022380654e+00
9.239797956437e-05,1.859780360721e+00,7.742022635667e+00
9.239997956437e-05,1.876171927025e+00,7.742046874484e+00
9.240197956437e-05,1.891796983882e+00,7.742094546345e+00
9.240397956437e-05,1.906587547965e+00,7.742164915825e+00
9.240597956437e-05,1.920479266755e+00,7.742257079805e+00
9.240797956437e-05,1.933411698538e+00,7.742369985221e+00
9.240997956437e-05,1.945328575373e+00,7.742502447080e+00
9.241197956437e-05,1.956178047918e+00,7.742653166293e+00
9.241397956437e-05,1.965912911017e+00,7.742820746831e+00
9.241597956437e-05,1.974490809089e+00,7.743003711802e+00
9.241797956437e-05,1.981874420410e+00,7.743200518037e+00
9.241997956437e-05,1.988031619499e+00,7.743409568897e+00
9.242197956437e-05,1.992935616894e+00,7.743629225039e+00
9.242397956437e-05,1.996565075709e+00,7.743857813047e+00
9.242597956437e-05,1.998904204469e+00,7.744093631883e+00
9.242797956437e-05,1.999942825818e+00,7.744334957302e+00
9.242997956437e-05,1.999676420803e+00,7.744580044446e+00
9.243197956437e-05,1.998106148528e+00,7.744827129145e+00
9.243397956437e-05,1.995238841118e+00,7.745074428145e+00
9.243597956437e-05,1.991086973990e+00,7.745320141364e+00
9.243797956437e-05,1.985668611574e+00,7.745562451906e+00
9.243997956437e-05,1.979007328715e+00,7.745799507804e+00
9.244197956437e-05,1.971132108103e+00,7.746029448841e+00
9.244397956437e-05,1.962077214169e+00,7.746250419954e+00
9.244597956437e-05,1.951882044006e+00,7.746460555375e+00
9.244797956437e-05,1.940590955955e+00,7.746657999605e+00
9.244997956437e-05,1.928253076603e+00,7.746840922588e+00
9.245197956437e-05,1.914922087040e+00,7.747007538451e+00
9.245397956437e-05,1.900655989297e+00,7.747156127604e+00
9.245597956437e-05,1.885516853981e+00,7.747285061726e+00
9.245797956437e-05,1.869570550216e+00,7.747392830987e+00
9.245997956437e-05,1.852886459048e+00,7.747478072635e+00
9.246197956437e-05,1.835537171572e+00,7.747539599958e+00
9.246397956437e-05,1.817598173101e+00,7.747576430538e+00
9.246597956437e-05,1.799147514729e+00,7.747587812699e+00
