time_s,u89_1_pin1_v,u89_1_pin4_v,u89_1_signal_diff_v,u89_1_pin8_v,u89_1_pin10_v,u89_1_carrier_diff_v,u89_1_pin6_v,u89_1_pin12_v,u89_1_output_diff_v
7.298597956432e-05,6.886922424261e+00,6.783051023537e+00,1.038714007235e-01,1.000448006321e+01,1.001671090289e+01,-1.223083967336e-02,1.274359817393e+01,1.274983608523e+01,-6.237911293610e-03
7.298797956432e-05,6.891961703955e+00,6.783050001570e+00,1.089117023854e-01,1.000601840138e+01,1.001664621976e+01,-1.062781837104e-02,1.275325193849e+01,1.275036122234e+01,2.890716143479e-03
7.298997956432e-05,6.896543483583e+00,6.783049717926e+00,1.134937656575e-01,1.000768896529e+01,1.001658942871e+01,-8.900463419911e-03,1.276278484364e+01,1.275115220847e+01,1.163263516901e-02
7.299197956432e-05,6.900648806912e+00,6.783050200441e+00,1.175986064713e-01,1.000947845214e+01,1.001654102253e+01,-7.062570393460e-03,1.277196846948e+01,1.275220481560e+01,1.976365387836e-02
7.299397956432e-05,6.904259289338e+00,6.783051471550e+00,1.212078177875e-01,1.001137298786e+01,1.001650142739e+01,-5.128439529390e-03,1.278058403390e+01,1.275350726724e+01,2.707676665991e-02
7.299597956432e-05,6.907359953274e+00,6.783053547408e+00,1.243064058656e-01,1.001335740856e+01,1.001647099868e+01,-3.113590118970e-03,1.278842762945e+01,1.275504323541e+01,3.338439403776e-02
7.299797956432e-05,6.909937088312e+00,6.783056438149e+00,1.268806501632e-01,1.001541610328e+01,1.001645001736e+01,-1.033914080031e-03,1.279531491166e+01,1.275679057102e+01,3.852434064271e-02
7.299997956432e-05,6.911980046112e+00,6.783060147206e+00,1.289198989063e-01,1.001753239284e+01,1.001643868744e+01,1.093705401399e-03,1.280108535004e+01,1.275872255322e+01,4.236279682655e-02
7.300197956432e-05,6.913479903315e+00,6.783064671408e+00,1.304152319067e-01,1.001968913605e+01,1.001643713285e+01,3.252003201240e-03,1.280560596412e+01,1.276080808356e+01,4.479788055783e-02
7.300397956432e-05,6.914430606274e+00,6.783070000537e+00,1.313606057373e-01,1.002186841811e+01,1.001644539584e+01,5.423022271820e-03,1.280877441264e+01,1.276301218735e+01,4.576222529189e-02
7.300597956432e-05,6.914828079414e+00,6.783076117339e+00,1.317519620755e-01,1.002405192461e+01,1.001646343500e+01,7.588489610431e-03,1.281052146880e+01,1.276529669091e+01,4.522477789648e-02
7.300797956432e-05,6.914671006200e+00,6.783082997270e+00,1.315880089294e-01,1.002622087927e+01,1.001649112473e+01,9.729754535760e-03,1.281081275694e+01,1.276762065788e+01,4.319209906381e-02
7.300997956432e-05,6.913960167193e+00,6.783090608525e+00,1.308695586682e-01,1.002835628596e+01,1.001652825478e+01,1.182803118338e-02,1.280964977064e+01,1.276994119929e+01,3.970857135138e-02
7.301197956432e-05,6.912699014391e+00,6.783098911946e+00,1.296001024453e-01,1.003043903431e+01,1.001657453100e+01,1.386450330477e-02,1.280707009221e+01,1.277221410689e+01,3.485598532599e-02
7.301397956432e-05,6.910893128060e+00,6.783107861141e+00,1.277852669190e-01,1.003245008554e+01,1.001662957660e+01,1.582050893343e-02,1.280314681023e+01,1.277439478665e+01,2.875202357612e-02
7.301597956432e-05,6.908550663672e+00,6.783117402574e+00,1.254332610981e-01,1.003437068662e+01,1.001669293448e+01,1.767775213757e-02,1.279798709517e+01,1.277643917681e+01,2.154791835645e-02
7.301797956432e-05,6.905681873341e+00,6.783127475813e+00,1.225543975283e-01,1.003618253879e+01,1.001676407023e+01,1.941846855495e-02,1.279172992658e+01,1.277830485571e+01,1.342507086229e-02
7.301997956432e-05,6.902299465159e+00,6.783138013816e+00,1.191614513430e-01,1.003786807653e+01,1.001684237618e+01,2.102570035135e-02,1.278454297570e+01,1.277995221966e+01,4.590756042370e-03
7.302197956432e-05,6.898418162909e+00,6.783148943358e+00,1.152692195513e-01,1.003941062843e+01,1.001692717615e+01,2.248345227724e-02,1.277661866475e+01,1.278134571702e+01,-4.727052268889e-03
7.302397956432e-05,6.894054998961e+00,6.783160185505e+00,1.108948134557e-01,1.004079472265e+01,1.001701773112e+01,2.377699152846e-02,1.276816946790e+01,1.278245512058e+01,-1.428565268191e-02
7.302597956432e-05,6.889228899247e+00,6.783171656232e+00,1.060572430143e-01,1.004200622984e+01,1.001711324559e+01,2.489298424952e-02,1.275942253294e+01,1.278325668228e+01,-2.383414934094e-02
7.302797956432e-05,6.883960922196e+00,6.783183267087e+00,1.007776551096e-01,1.004303265807e+01,1.001721287470e+01,2.581978336957e-02,1.275061376435e+01,1.278373420385e+01,-3.312043949814e-02
7.302997956432e-05,6.878273862212e+00,6.783194925971e+00,9.507893624106e-02,1.004386325740e+01,1.001731573190e+01,2.654752550330e-02,1.274198151619e+01,1.278387980391e+01,-4.189828772107e-02
7.303197956432e-05,6.872192442776e+00,6.783206537967e+00,8.898590480857e-02,1.004448927112e+01,1.001742089724e+01,2.706837388731e-02,1.273376010295e+01,1.278369446512e+01,-4.993436217140e-02
7.303397956433e-05,6.865742934537e+00,6.783218006252e+00,8.252492828467e-02,1.004490398194e+01,1.001752742599e+01,2.737655595358e-02,1.272617332611e+01,1.278318814838e+01,-5.701482226384e-02
7.303597956433e-05,6.858953308378e+00,6.783229233025e+00,7.572407535340e-02,1.004510289603e+01,1.001763435769e+01,2.746853833536e-02,1.271942825401e+01,1.278237962215e+01,-6.295136814702e-02
7.303797956433e-05,6.851852865670e+00,6.783240120497e+00,6.861274517319e-02,1.004508371936e+01,1.001774072536e+01,2.734299400472e-02,1.271370945589e+01,1.278129584164e+01,-6.758638574480e-02
7.303997956433e-05,6.844472355898e+00,6.783250571870e+00,6.122178402806e-02,1.004484646500e+01,1.001784556484e+01,2.700090015721e-02,1.270917390441e+01,1.277997108674e+01,-7.079718232646e-02
