supply_v,q1_gate1_v,q1_source_v,q1_drain_v,v_gs_v,drain_current_ma
3.299999999999996,0.2718979473117831,1.449014861673285,2.984733142347773,-1.177116914361502,3.0830103439857126
3.349999999999996,0.2763724997895477,1.452612400749469,3.03393806800546,-1.1762399009599211,3.0906646824456785
3.399999999999996,0.2808470322244308,1.456210976547714,3.083142768797385,-1.1753639443232833,3.0983212266972635
3.449999999999996,0.2853215448597957,1.45981057656541,3.132347247435363,-1.1744890317056143,3.10597995013917
3.499999999999996,0.2897960379498438,1.46341118754936,3.18155150679402,-1.1736151495995162,3.1136408245731064
3.549999999999995,0.2942705117687448,1.467012795423668,3.230755549926451,-1.1727422836549233,3.1213038200503576
3.599999999999995,0.2987449666042661,1.47061538519573,3.279959380084573,-1.171870418591464,3.128968904671766
3.649999999999995,0.3032194027668041,1.47421894086299,3.329163000739296,-1.170999538096186,3.1366360443893404
3.699999999999995,0.3076938205889076,1.477823445299764,3.378366415605244,-1.1701296247108566,3.144305202765455
3.749999999999995,0.3121682204229705,1.481428880127942,3.427569628668576,-1.1692606597049715,3.151976340697749
3.799999999999994,0.3166426026536845,1.485035225582293,3.476772644216505,-1.1683926229286086,3.159649416132538
3.849999999999994,0.3211169676910109,1.488642460341376,3.525975466873613,-1.167525492650365,3.167324383705055
3.899999999999994,0.3255913159832923,1.492250561351594,3.575178101640201,-1.1666592453683018,3.1750011943650933
3.949999999999994,0.3300656480116052,1.495859503611137,3.624380553939222,-1.165793855599532,3.182679794917313
3.999999999999994,0.3345399643022268,1.499469259937463,3.673582829666566,-1.1649292956352362,3.190360127526517
4.049999999999994,0.3390142654277667,1.503079800691592,3.72278493525096,-1.1640655352638252,3.198042129131047
4.099999999999993,0.3434885520147343,1.506691093466348,3.771986877721509,-1.1632025414516136,3.205725730779464
4.149999999999993,0.3479628247509388,1.510303102727351,3.821188664785779,-1.1623402779764123,3.2134108568667044
4.199999999999993,0.3524370843914493,1.513915789397103,3.870390304919506,-1.1614787050056536,3.2210974242491552
