band,band_key,load_ohm,coil_q,peak_hz,peak_db,gain_at_target_db,bandwidth_3db_hz,loaded_q,grid_step_hz
21.2 MHz,21p2,10000.0,20.0,21202215.58144102,49.841170597701506,49.841140243835845,611248.544577241,34.6867338491663,2440.854767229408
21.2 MHz,21p2,10000.0,10.0,21202215.58144102,39.94752157451018,39.947447303240615,1089077.6792266704,19.46804712451387,2440.854767229408
21.2 MHz,21p2,4700.0,70.0,21182696.60942515,59.54568394068994,59.48512937365112,284572.5901271589,74.4368830461143,2440.854767229408
21.2 MHz,21p2,4700.0,50.0,21185135.49788827,56.711668866062496,56.685462026955406,354665.3474468142,59.7327470822765,2440.854767229408
21.2 MHz,21p2,4700.0,30.0,21192453.84822842,51.704744751390876,51.7004467551334,507034.74875660613,41.79684706067654,2440.854767229408
21.2 MHz,21p2,4700.0,20.0,21197334.15290419,47.13687500452905,47.13646012091046,684699.0852573477,30.95861322048804,2440.854767229408
21.2 MHz,21p2,4700.0,10.0,21197334.15290419,38.21560426516958,38.21558510536043,1185182.5894674882,17.88528986274454,2440.854767229408
21.2 MHz,21p2,2200.0,70.0,21187574.66715497,53.984494233026666,53.95897428052264,307805.0799700804,68.83438918296757,2440.854767229408
21.2 MHz,21p2,2200.0,50.0,21187574.66715497,51.50669345191797,51.4924709498572,386449.63620458543,54.82622490020491,2440.854767229408
21.2 MHz,21p2,2200.0,30.0,21190014.11725758,47.14830510444351,47.14331882783797,561221.4243242517,37.75695865989396,2440.854767229408
21.2 MHz,21p2,2200.0,20.0,21192453.84822842,43.178099812349664,43.17623395547837,765640.7373154089,27.679370774517842,2440.854767229408
21.2 MHz,21p2,2200.0,10.0,21190014.11725758,35.35595542806654,35.35529557769122,1323255.1365344748,16.013551379632613,2440.854767229408
21.2 MHz,21p2,1000.0,70.0,21192453.84822842,47.62280734800257,47.612207338530666,316632.54134043306,66.93075120615282,2440.854767229408
21.2 MHz,21p2,1000.0,50.0,21192453.84822842,45.3528799351504,45.34570966997752,400559.50108192116,52.90713062850108,2440.854767229408
21.2 MHz,21p2,1000.0,30.0,21190014.11725758,41.41954014458615,41.415414127353316,592558.1779070236,35.76022559017393,2440.854767229408
21.2 MHz,21p2,1000.0,20.0,21190014.11725758,37.89591255883101,37.892975029121736,824428.9000166282,25.702658066487228,2440.854767229408
21.2 MHz,21p2,1000.0,10.0,21180258.00173327,31.055247915639818,31.052710066775816,1470164.5148260184,14.406726450093768,2440.854767229408
21.2 MHz,21p2,470.0,70.0,21194893.86009984,41.17756445028135,41.17210256361875,318967.94549750164,66.44835056087432,2440.854767229408
21.2 MHz,21p2,470.0,50.0,21194893.86009984,39.00933334469103,39.00523569123006,404607.59886328876,52.383825513028235,2440.854767229408
21.2 MHz,21p2,470.0,30.0,21192453.84822842,35.29829881350208,35.295016369109064,603249.6126424633,35.13048894535944,2440.854767229408
21.2 MHz,21p2,470.0,20.0,21187574.66715497,32.028336437573856,32.02506041569748,848704.4952193722,24.964607571305994,2440.854767229408
21.2 MHz,21p2,470.0,10.0,21172943.86296191,25.82591031106075,25.82110472623975,1560964.3855149709,13.564014694657391,2440.854767229408
