time_s,filt_input,audio_opamp,audio_terminal,agc_opamp,d79_6_anode,agc_store,pin_bias,d79_1_feed
0.1116,-0.00587781157,6.49161594,-0.39619972,5.60573942,1.20004823,2.2702817,0.59123076,0.578935057
0.11162,-0.00684542341,6.38253989,-0.504914846,5.26713875,1.20371145,2.27026724,0.591222411,0.578927853
0.11164,-0.00770507884,6.28134285,-0.605667081,4.95375057,1.20848943,2.27025279,0.591213907,0.578920663
0.11166,-0.00844322057,6.18962074,-0.696867489,4.67051721,1.21451106,2.27023833,0.591205344,0.578913543
0.11168,-0.00904820766,6.10882012,-0.777077764,4.42190554,1.22197956,2.27022388,0.591196788,0.578906526
0.1117,-0.00951049912,6.04021528,-0.845032917,4.21183646,1.23122269,2.27020942,0.591188281,0.57889963
0.11172,-0.00982280433,5.98488818,-0.89966123,4.04362313,1.24279038,2.27019497,0.59117985,0.578892861
0.11174,-0.00998019804,5.94371138,-0.940101158,3.91991873,1.25765793,2.27018052,0.591171508,0.578886221
0.11176,-0.00998019807,5.9173343,-0.965714924,3.84267472,1.27767506,2.27016607,0.591163262,0.578879705
0.11178,-0.00982280442,5.90617291,-0.976098574,3.81311028,1.30657087,2.27015163,0.591155114,0.578873305
0.1118,-0.00951049927,5.91040324,-0.971088351,3.83169256,1.35182922,2.2701372,0.591147059,0.578867013
0.11182,-0.00904820786,5.92995857,-0.950763279,3.89812647,1.42571805,2.27012279,0.591139095,0.578860819
0.11184,-0.00844322081,5.96453048,-0.915443907,4.01136074,1.5398613,2.27010841,0.591131216,0.578854715
0.11186,-0.00770507913,6.01357375,-0.865687252,4.16961127,1.69804366,2.27009406,0.591123417,0.578848693
0.11188,-0.00684542375,6.07631494,-0.802278015,4.37038412,1.89866959,2.27007975,0.591115694,0.578842746
0.1119,-0.00587781194,6.15176455,-0.726216201,4.61051327,2.13862412,2.27006547,0.591108041,0.578836866
0.11192,-0.00481750353,6.23873272,-0.638701351,4.88621176,2.41411591,2.27005125,0.591100453,0.578831048
0.11194,-0.00368122021,6.33584791,-0.541113621,5.19305993,2.71627959,2.27004656,0.59109313,0.578825431
0.11196,-0.00248688185,6.44157868,-0.434991904,5.52641985,2.82276472,2.27051474,0.591111972,0.578839573
0.11198,-0.00125332387,6.55425751,-0.322009878,5.88085299,2.82601151,2.27124748,0.591211663,0.578917128
0.112,-2.31982433e-10,6.67210735,-0.203949381,6.25081705,2.82835483,2.27201518,0.59138295,0.57905085
0.11202,0.00125332341,6.79326966,-0.082672274,6.63048174,2.82999414,2.27280502,0.591612775,0.579230053
0.11204,0.0024868814,6.91583365,0.0399088471,7.01385942,2.8309491,2.2736042,0.591889702,0.579445437
0.11206,0.00368121978,7.03786643,0.161860814,7.39490385,2.83121566,2.27439988,0.59220318,0.579688492
0.11208,0.00481750312,7.15744347,0.281260371,7.76760555,2.83076789,2.27517933,0.592543285,0.579951281
0.1121,0.00587781157,7.27267895,0.396224505,8.12608656,2.82955694,2.27593014,0.592900611,0.580226359
0.11212,0.00684542341,7.38175552,0.504940145,8.4646932,2.82750678,2.27664044,0.593266235,0.58050673
0.11214,0.00770507884,7.48295296,0.605692753,8.77808521,2.82450561,2.27729911,0.593631719,0.580785849
0.11216,0.00844322057,7.5746753,0.69689337,9.06132002,2.82039035,2.27789599,0.593989147,0.581057646
0.11218,0.00904820766,7.65547597,0.777103679,9.30993066,2.8149187,2.27842208,0.594331191,0.581316567
0.1122,0.00951049912,7.72408069,0.845058688,9.5199963,2.80771725,2.27886984,0.59465119,0.581557618
0.11222,0.00982280433,7.7794075,0.899686688,9.68820399,2.79817983,2.27923351,0.594943248,0.58177644
0.11224,0.00998019804,7.82058386,0.940126156,9.8119009,2.78525579,2.27950969,0.595202372,0.581969395
0.11226,0.00998019807,7.84696038,0.965739341,9.88913602,2.76698409,2.27969838,0.595424673,0.582133706
0.11228,0.00982280442,7.85812113,0.976122328,9.91869075,2.7394673,2.27980531,0.595607741,0.582267731
0.1123,0.00951049927,7.85389011,0.971111402,9.90009864,2.69503258,2.2798458,0.595751339,0.582371482
0.11232,0.00904820786,7.8343341,0.950785629,9.83365546,2.6214224,2.27984657,0.595858385,0.582447359
0.11234,0.00844322081,7.79976155,0.915465605,9.72041281,2.50731264,2.27983397,0.595934963,0.582500178
0.11236,0.00770507913,7.75071773,0.865708388,9.56215535,2.34912537,2.27981941,0.595988146,0.582535492
0.11238,0.00684542375,7.68797613,0.802298712,9.36137751,2.14849426,2.27980472,0.596023905,0.582557961
0.1124,0.00587781194,7.61252624,0.726236612,9.12124565,1.90853672,2.27979001,0.596046779,0.582571095
0.11242,0.00481750353,7.52555797,0.638721647,8.84554688,1.63304359,2.27977529,0.59606018,0.582577505
0.11244,0.00368122021,7.42844286,0.541133981,8.53868794,1.33008933,2.27976057,0.596066667,0.582579127
0.11246,0.00248688185,7.32271236,0.435012513,8.20535933,1.2031077,2.27974596,0.596068165,0.582577394
0.11248,0.00125332387,7.21003395,0.322030882,7.85091908,1.19875911,2.27973144,0.596066119,0.582573372
0.1125,2.31951347e-10,7.09218466,0.203970916,7.48096319,1.19655277,2.27971692,0.596061583,0.582567821
0.11252,-0.00125332341,6.971023,0.0826944425,7.1013078,1.19533689,2.2797024,0.596055332,0.582561292
0.11254,-0.0024868814,6.84845972,-0.0398859826,6.71793994,1.19507956,2.27968787,0.596047933,0.582554174
0.11256,-0.00368121978,6.72642767,-0.161837235,6.33690523,1.19577066,2.27967335,0.596039793,0.582546742
0.11258,-0.00481750312,6.60685134,-0.281236102,5.96421255,1.19741797,2.27965883,0.596031206,0.582539185
0.1126,-0.00587781157,6.4916165,-0.396199616,5.60573928,1.20004823,2.27964432,0.596022377,0.582531629
0.11262,-0.00684542341,6.38254046,-0.504914743,5.26713861,1.20371145,2.2796298,0.596013447,0.582524155
0.11264,-0.00770507884,6.28134341,-0.605666979,4.95375043,1.20848943,2.27961528,0.596004512,0.582516811
0.11266,-0.00844322057,6.18962131,-0.696867387,4.67051707,1.21451106,2.27960076,0.595995633,0.582509623
0.11268,-0.00904820766,6.10882069,-0.777077662,4.4219054,1.22197957,2.27958625,0.595986846,0.582502602
0.1127,-0.00951049912,6.04021584,-0.845032815,4.21183632,1.23122269,2.27957173,0.595978173,0.582495747
0.11272,-0.00982280433,5.98488874,-0.899661128,4.04362299,1.24279038,2.27955722,0.595969621,0.582489052
0.11274,-0.00998019804,5.94371195,-0.940101057,3.91991859,1.25765793,2.27954271,0.59596119,0.582482507
0.11276,-0.00998019807,5.91733486,-0.965714823,3.84267459,1.27767507,2.2795282,0.595952878,0.582476098
0.11278,-0.00982280442,5.90617347,-0.976098473,3.81311015,1.30657088,2.2795137,0.595944676,0.582469813
0.1128,-0.00951049927,5.9104038,-0.97108825,3.83169243,1.35182925,2.27949921,0.595936576,0.582463638
0.11282,-0.00904820786,5.92995913,-0.950763178,3.89812633,1.42571811,2.27948474,0.595928569,0.58245756
0.11284,-0.00844322081,5.96453105,-0.915443806,4.01136061,1.53986144,2.2794703,0.595920649,0.58245157
0.11286,-0.00770507913,6.01357432,-0.865687152,4.16961114,1.69804391,2.27945589,0.595912807,0.582445659
0.11288,-0.00684542375,6.0763155,-0.802277915,4.37038398,1.89867001,2.27944151,0.595905037,0.582439817
0.1129,-0.00587781194,6.15176512,-0.726216101,4.61051314,2.1386248,2.27942717,0.595897334,0.582434038
0.11292,-0.00481750353,6.23873329,-0.638701251,4.88621163,2.41411776,2.27941289,0.595889693,0.582428316
0.11294,-0.00368122021,6.33584848,-0.541113522,5.19307185,2.71713743,2.27940634,0.595882286,0.582422768
0.11296,-0.00248688185,6.44157924,-0.43499181,5.52641756,2.8320608,2.27985648,0.595901457,0.582436826
0.11298,-0.00125332387,6.55425807,-0.322009782,5.88085286,2.83535311,2.28058906,0.596007541,0.582517643
0.113,-2.31922037e-10,6.67210791,-0.203949284,6.25081691,2.83769636,2.2813567,0.596189942,0.582657117
0.11302,0.00125332341,6.79327022,-0.0826721767,6.6304816,2.83933561,2.28214648,0.596433416,0.58284302
0.11304,0.0024868814,6.91583421,0.0399089447,7.01385928,2.84029051,2.2829456,0.596724987,0.583065012
0.11306,0.00368121978,7.03786699,0.161860912,7.39490372,2.84055701,2.28374122,0.597052999,0.58331388
0.11308,0.00481750312,7.15744403,0.281260469,7.76760541,2.84010918,2.28452061,0.597406742,0.583581241
0.1131,0.00587781157,7.27267951,0.396224603,8.12608642,2.83889817,2.28527135,0.597776262,0.583859383
0.11312,0.00684542341,7.38175609,0.504940242,8.46469306,2.83684795,2.2859816,0.598152262,0.584141185
0.11314,0.00770507884,7.48295353,0.60569285,8.77808508,2.83384671,2.28664021,0.59852607,0.584420084
0.11316,0.00844322057,7.57467586,0.696893467,9.06131988,2.82973139,2.28723703,0.598889642,0.584690066
